id,titulo,empresa,local,tipo,modalidade,aderencia,tags,link,enviada
1,Analista de Suporte de TI - Trabalho Remoto | REF#282222,BairesDev,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-suporte-de-ti-trabalho-remoto-ref%23282222-at-bairesdev-4157637861,False
2,Analista de Suporte de TI - Trabalho Remoto | REF#284185,BairesDev,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-suporte-de-ti-trabalho-remoto-ref%23284185-at-bairesdev-4258063355,False
3,Técnico de Suporte,UNICAP,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/t%C3%A9cnico-de-suporte-at-unicap-4459006058,False
4,ASSISTENTE DE TI,ACCIONA,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/assistente-de-ti-at-acciona-4455403605,False
5,Auxiliar de Suporte de TI,Jobbol,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/auxiliar-de-suporte-de-ti-at-jobbol-4449637483,False
6,TÉCNICO DE SUPORTE EM TI,Mais Fibra PE,"Olinda, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/t%C3%A9cnico-de-suporte-em-ti-at-mais-fibra-pe-4449427010,False
7,Analista de Suporte - Recife,SELFIT Academias,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-suporte-recife-at-selfit-academias-4439261919,False
8,Auxiliar de TI,Arte Interativa,"Olinda, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/auxiliar-de-ti-at-arte-interativa-4440076236,False
9,Analista de T.I,Casa dos Frios,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-t-i-at-casa-dos-frios-4438419826,False
10,Analista de Suporte e Atendimento,Jobbol,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-suporte-e-atendimento-at-jobbol-4457344595,False
11,ANALISTA DE SUPORTE JUNIOR,VR SOFTWARE,Greater Recife,Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-suporte-junior-at-vr-software-4407647654,False
12,Vaga PCD Analista de Suporte - Centro Administrativo Rede Damas (Pessoa Com Deficiência - PCD),Rede Damas Educacional,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/vaga-pcd-analista-de-suporte-centro-administrativo-rede-damas-pessoa-com-defici%C3%AAncia-pcd-at-rede-damas-educacional-4449016576,False
13,Suporte Técnico – Departamento Pessoal,Implantta Serviços de Informática,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/suporte-t%C3%A9cnico-%E2%80%93-departamento-pessoal-at-implantta-servi%C3%A7os-de-inform%C3%A1tica-4454003002,False
14,Pessoa Analista de Suporte Júnior (EY SDC - Recife Porto Digital),EY,"Recife, Pernambuco, Brazil",Indústria,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/pessoa-analista-de-suporte-j%C3%BAnior-ey-sdc-recife-porto-digital-at-ey-4457620137,False
15,Analista de Suporte - Centro Administrativo Rede Damas,Rede Damas Educacional,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Suporte,https://br.linkedin.com/jobs/view/analista-de-suporte-centro-administrativo-rede-damas-at-rede-damas-educacional-4446265191,False
16,ANALISTA DE TI PLENO,ACCIONA,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Infraestrutura,https://br.linkedin.com/jobs/view/analista-de-ti-pleno-at-acciona-4455418452,False
17,ESPECIALISTA DE TI,ACCIONA,"Recife, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Infraestrutura,https://br.linkedin.com/jobs/view/especialista-de-ti-at-acciona-4455418451,False
18,Assistente de TI – Infraestrutura - PE,Ibacem Agricola Comercio E Exportacao,"Petrolina, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.72,Infraestrutura,https://br.linkedin.com/jobs/view/assistente-de-ti-%E2%80%93-infraestrutura-pe-at-ibacem-agricola-comercio-e-exportacao-4456556795,False
19,IT/OT Infrastructure & Security Engineer,Campari Group,"Cabo de Santo Agostinho, Pernambuco, Brazil",Indústria,Presencial,0.4,TI Geral,https://br.linkedin.com/jobs/view/it-ot-infrastructure-security-engineer-at-campari-group-4440355083,False
20,Técnico de Informática,Jobbol,"Olinda, Pernambuco, Brazil",Tecnologia / Serviços,Presencial,0.4,TI Geral,https://br.linkedin.com/jobs/view/t%C3%A9cnico-de-inform%C3%A1tica-at-jobbol-4449630535,False
